ligand_canonical_id,canonical_smiles,e3_uniprot,neo_uniprot,neo_gene_symbol,moa_type,endpoint_tier,endpoint_category,source_dataset,has_pdb_structure,mutation,is_family_level,label_positive,regime
SGMSDUVPPHGFLT-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4ccc(-c5ccccc5F)nc4)cc3C2=O)C(=O)N1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
KHLXADJUOYLDOD-UHFFFAOYSA-N,CC1(C)COc2cc(NC(=O)OCc3cc(F)c4c(c3)C(=O)N(C3CCC(=O)NC3=O)C4)ccc21,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
CDDBBSQIMVYSAK-UHFFFAOYSA-N,CC1CCCCN1c1ccc(NC(=O)OCc2cc(F)c3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)cn1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
LIPRDHKIYMNBNO-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4cccc(OC(F)(F)F)c4)cc3C2=O)C(=O)N1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
VUYLIOVEZKIZOV-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4ccc(F)c(OC(F)(F)F)c4)cc3C2=O)C(=O)N1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
XDXRIDUYGUTMBG-UHFFFAOYSA-N,CC1(c2ccc(NC(=O)OCc3cc(F)c4c(c3)C(=O)N(C3CCC(=O)NC3=O)C4)cc2)CC1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
DGZKDJFUEQSRLL-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4cc(F)cc(OC(F)(F)F)c4)cc3C2=O)C(=O)N1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
MKALCODESUTFED-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4ccc(-c5ccccn5)cc4)cc3C2=O)C(=O)N1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
FWPMTNINXWCSHR-UHFFFAOYSA-N,CC(C)(C)c1ccc(NC(=O)OCc2cc(F)c3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)cc1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
UHZFEFIMOTUMFD-UHFFFAOYSA-N,CC(C)(C)c1ccc(NC(=O)OCc2cc(F)c3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)cn1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
BZNHBORWVRFLBK-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4ccc(-c5ccccc5)nc4)cc3C2=O)C(=O)N1,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
QLHTUKDNSLGIBA-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc(F)c(OC(F)(F)F)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
GOEALBLRCXGNRT-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc(N3CCCCC3C)nc2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
FSIUQISNPQDFOI-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc3c(c2)OCC3(C)C)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
NLZDCOXIRKSMLI-UHFFFAOYSA-N,Cc1ccc(NC(=O)OCc2cc(Cl)c3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)cc1Cl,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
QZELYYTUBCOLMU-UHFFFAOYSA-N,Cc1ccc(NC(=O)OCc2cc(C#N)c3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)cc1Cl,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
HIUIQLZWQFSNJU-UHFFFAOYSA-N,Cc1ccc(NC(=O)OCc2cc(Br)c3c(c2)C(=O)N(C2CCC(=O)NC2=O)C3)cc1Cl,,P15170,GSPT1,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
YWEPIHYNBGHYGJ-UHFFFAOYSA-N,Cc1ccc(NC(=O)OCc2ccc3c(c2C)C(=O)N(C2CCC(=O)NC2=O)C3)cc1Cl,,Q96SW2,CRBN,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
ZGFHPHUKNIQMOJ-UHFFFAOYSA-N,COc1c(COC(=O)Nc2ccc(C)c(Cl)c2)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2,,Q96SW2,CRBN,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
RJUGFQATUXQXSB-OOJLDXBWSA-N,COc1cc(COC(=O)Nc2ccc(N3CCC[C@@H]3C)nc2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,Q96SW2,CRBN,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
KLLAQCKOLPBHIR-UHFFFAOYSA-N,O=C1CCC(N2Cc3c(F)cc(COC(=O)Nc4cc(F)c(F)c(Cl)c4)cc3C2=O)C(=O)N1,,Q96SW2,CRBN,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
MBJYVPHDPODQIH-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2ccc(-c3ccccc3C)nc2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,Q96SW2,CRBN,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
CJPOCWXKYPARLC-UHFFFAOYSA-N,COc1cc(COC(=O)Nc2cnc(-c3ccccc3)c(C)c2)cc2c1CN(C1CCC(=O)NC1=O)C2=O,,Q96SW2,CRBN,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
