compound_inchi_key,canonical_isomeric_smiles,canonical_smiles,stereo_status,source_dataset,source_record_id,ligand_source_id,e3_uniprot,e3_gene_symbol,target_uniprot,target_gene_symbol,moa_type,endpoint_tier,endpoint_category,assay_type,mutation_flag,mutation_detail,diagnostic_only,is_family_level,has_pdb_structure,pdb_id,dc50,dmax,mapping_assumption_flag,in_both_datasets
YIGFSLQBIDLLFW-JRMBDLRJSA-N,CC(C)NC(=O)O[C@H]1CC[C@@H](c2cc(NC(=O)Cc3ccc(CN4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)Cc3ccc(CN4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6291,MG-6291,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
KNPLCJZGNRGZAN-UHFFFAOYSA-N,COc1ccccc1NC(=O)Nc1ccc([N+](=O)[O-])cc1O,COc1ccccc1NC(=O)Nc1ccc([N+](=O)[O-])cc1O,none,mgdb,MG-4469,MG-4469,,,Q9UJQ4,SALL4,unknown,3,cellular_phenotype,Western blotting,False,,True,False,False,,,,nan,False
KQSXPGPHCYWVSH-GLRCULSHSA-N,O=C1CCC(N2Cc3c(NC(=O)[C@@H]4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3c(NC(=O)C4NC5(CCCCC5)C5(C(=O)Nc6cc(Cl)ccc65)C4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,defined,mgdb,MG-19,MG-19,,,P04637,TP53,unknown,3,cellular_phenotype,WST-8 assay,False,,True,False,False,,,,nan,False
KQSXPGPHCYWVSH-GLRCULSHSA-N,O=C1CCC(N2Cc3c(NC(=O)[C@@H]4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3c(NC(=O)C4NC5(CCCCC5)C5(C(=O)Nc6cc(Cl)ccc65)C4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,defined,mgdb,MG-19,MG-19,,,P15170,GSPT1,unknown,3,cellular_phenotype,Western Blotting Assay,False,,True,False,False,,,,nan,False
KNKHUJFFUZTHJK-RQZSDGGCSA-N,O=C1CCC(N2Cc3c(CCCNC(=O)[C@@H]4NC5(CCCCC5)[C@@]5(C(=O)Nc6cc(Cl)ccc65)[C@H]4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3c(CCCNC(=O)C4NC5(CCCCC5)C5(C(=O)Nc6cc(Cl)ccc65)C4c4cccc(Cl)c4F)cccc3C2=O)C(=O)N1,defined,mgdb,MG-20,MG-20,,,P15170,GSPT1,unknown,3,cellular_phenotype,Western Blotting Assay,False,,True,False,False,,,,nan,False
SETFNECMODOHTO-UHFFFAOYSA-N,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,none,mgdb,MG-36,MG-36,,,,N-cadherin,unknown,3,cellular_phenotype,Label-free quantitative proteomics identified indisulamdownregulated protein that regulates cell migration,False,,True,False,False,,,,,True
SETFNECMODOHTO-UHFFFAOYSA-N,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,none,mgdb,MG-36,MG-36,,,Q14498,RBM39,unknown,3,cellular_phenotype,scratch assay.,False,,True,False,False,,,,nan,True
SETFNECMODOHTO-UHFFFAOYSA-N,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,none,mgdb,MG-36,MG-36,,,P37275,ZEB1,unknown,3,cellular_phenotype,immunoblotting analysis,False,,True,False,False,,,,nan,True
SETFNECMODOHTO-UHFFFAOYSA-N,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,none,mgdb,MG-36,MG-36,,,P10275,AR,unknown,3,cellular_phenotype,MTT assay,False,,True,False,False,,,,nan,True
SSHVAUUEPNULMP-JHWDTTIQSA-N,O=C(/C=C/C=C/C=C/C1CCCCC1)NC1=C[C@@](O)(/C=C/C=C/C=C/C(=O)NC2=C(O)CCC2=O)[C@@H]2O[C@@H]2C1=O,O=C(C=CC=CC=CC1CCCCC1)NC1=CC(O)(C=CC=CC=CC(=O)NC2=C(O)CCC2=O)C2OC2C1=O,defined,mgdb,MG-42,MG-42,,,,nan,unknown,3,cellular_phenotype,Hoechst staining,False,,True,False,False,,,,,True
YFCMSHPEVDOMQA-VGOFRKELSA-N,COc1ccc(Cl)c([C@@H](C)n2cnc3ccc(-c4ccccc4[C@H]4CCCCN4)cc32)c1Cl,COc1ccc(Cl)c(C(C)n2cnc3ccc(-c4ccccc4C4CCCCN4)cc32)c1Cl,defined,mgdb,MG-43,MG-43,,,,GLP1R - glucagon like peptide 1 receptor (human),unknown,3,cellular_phenotype,nan,False,,True,False,False,,,,,True
DSXXEELGXBCYNQ-UHFFFAOYSA-N,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,undefined,mgdb,MG-53,MG-53,,,,SMAD4R361H/SMAD3 PPI,unknown,3,cellular_phenotype,Western Blotting Assay,False,,True,False,False,,,,,True
LLJJDLHGZUOMQP-UHFFFAOYSA-N,COc1ccc2c(c1)c(C1=C(c3c[nH]c4ccccc34)C(=O)NC1=O)cn2CCCN(C)C,COc1ccc2c(c1)c(C1=C(c3c[nH]c4ccccc34)C(=O)NC1=O)cn2CCCN(C)C,none,mgdb,MG-54,MG-54,,,,SMAD4R361H/SMAD3 PPI,unknown,3,cellular_phenotype,Western Blotting Assay,False,,True,False,False,,,,,True
