Patent Number,Application Id,Application Number,Application Date,Country,Application Title,I P C
510,US428011479,18249114,15.10.2021,US,HETEROCYCLIC CULLIN RING UBIQUITIN LIGASE COMPOUNDS AND USES THEREOF,C07D 417/12; A61P 31/02; C07D 213/75; C07D 405/12; C07D 417/14; C07D 471/04
511,WO2022079290,PCT/EP2021/078696,15.10.2021,WO,HETEROCYCLIC CULLIN RING UBIQUITIN LIGASE COMPOUNDS AND USES THEREOF,C07D 213/74; C07D 213/75; C07D 277/46; C07D 401/12; C07D 403/12; C07D 405/12; C07D 417/12; C07D 471/04; C07D 513/04; A61P 3/00; A61P 25/00; A61P 31/00; A61P 35/00; A61K 31/4155; A61K 31/427
512,AU398158465,2021359129,15.10.2021,AU,HETEROCYCLIC CULLIN RING UBIQUITIN LIGASE COMPOUNDS AND USES THEREOF,C07D 213/74; A61K 31/4155; A61K 31/427; A61P 3/00; A61P 25/00; A61P 31/00; A61P 35/00; C07D 213/75; C07D 277/46; C07D 401/12; C07D 403/12; C07D 405/12; C07D 417/12; C07D 471/04; C07D 513/04
527,WO2022152821,PCT/EP2022/050699,13.01.2022,WO,ISOINDOLINONE COMPOUNDS,C07D 401/04; C07D 401/14; C07D 405/14; C07D 413/14; C07D 417/14; A61P 35/00; A61K 31/4439
528,CA404802873,3208313,13.01.2022,CA,ISOINDOLINONE COMPOUNDS,C07D 401/04; A61K 31/4439; A61P 35/00; C07D 401/14; C07D 405/14; C07D 413/14; C07D 417/14
545,US430997273,18275382,01.02.2022,US,SULFONAMIDE SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,C07D 209/40; C07D 401/12; C07D 403/12; C07D 405/12; C07D 471/04; C07D 471/18; C07D 487/04; C07D 487/10; C07D 498/10
546,WO2022169755,PCT/US2022/014723,01.02.2022,WO,SULFONAMIDE SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,C07D 209/30; C07D 401/12; C07D 403/14; C07D 405/12; C07D 409/12; C07D 413/12; C07D 417/12; C07D 471/04; C07D 487/04; C07D 487/08; C07D 487/10; C07D 498/10; A61P 35/00; A61K 31/404
551,US440277548,18276433,09.02.2022,US,AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,C07D 209/30; A61K 31/404; A61K 31/4155; A61K 31/4178; A61K 31/4184; A61K 31/4192; A61K 31/4196; A61K 31/423; A61K 31/4245; A61K 31/437; A61K 31/438; A61K 31/4439; A61K 31/454; A61K 31/4545; A61K 31/4709; A61K 31/496; A61K 31/497; A61K 31/506; A61K 31/5377; A61K 31/5386; A61K 31/55; C07D 401/12; C07D 401/14; C07D 403/12; C07D 403/14; C07D 405/12; C07D 409/12; C07D 413/12; C07D 471/04; C07D 491/107; C07D 498/10
552,WO2022173805,PCT/US2022/015786,09.02.2022,WO,AMIDE AND ETHER SUBSTITUTED N-(1H-INDOL-7-YL)BENZENESULFONAMIDES AND USES THEREOF,C07D 209/30; C07D 401/12; C07D 401/14; C07D 403/12; C07D 405/12; C07D 409/12; C07D 413/12; C07D 491/10; A61P 35/00; A61K 31/404
558,WO2022199627,PCT/CN2022/082548,23.03.2022,WO,POLYCYCLIC COMPOUNDS AND USES THEREOF,C07D 487/04; A61K 31/519; A61P 35/00; A61P 35/02; A61P 35/04
571,WO2022221413,PCT/US2022/024624,13.04.2022,WO,E3 LIGASE BINDERS AND USES THEREOF,C07D 209/34; A61K 31/4468; C07D 211/88; C07D 401/12; C07D 403/12; C07D 487/04; C07D 495/14; A61K 31/551; A61K 31/522; A61K 31/4015; A61K 31/45; A61P 35/00
572,WO2022219407,PCT/IB2022/000215,14.04.2022,WO,ISOINDOLINONE COMPOUNDS,C07D 401/04; C07D 401/14; C07D 405/04; A61P 35/00; A61K 31/4439; A61K 31/444
573,WO2022219412,PCT/IB2022/000223,14.04.2022,WO,ISOINDOLINONE AMIDE COMPOUNDS USEFUL TO TREAT DISEASES ASSOCIATED WITH GSPT1,C07D 401/04; C07D 401/14; C07D 405/14; C07D 417/14; C07D 491/052; A61K 31/4439; A61P 35/00
576,US372935669,17740148,09.05.2022,US,"SUBSTITUTED N-(2-(2,6-DIOXOPIPERIDIN-3-YL)-1,3-DIOXOISOINDOLIN-5-YL)ARYLSULFONAMIDE ANALOGS AS MODULATORS OF CEREBLON PROTEIN",C07D 401/04; A61K 31/45; A61K 45/06; C07D 405/14; C07D 413/14; C07D 409/14; A61P 35/00; A61P 35/02
577,CN368050048,202210502251.4,10.05.2022,CN,基于TIP-1-多肽相互作用的新型分子胶水,C07K 14/47; C07K 7/06; C07K 1/10
593,MX410033342,2022007278,13.06.2022,MX,MODULADORES DEL ADAPTADOR KBTBD4 DE CULLIN 3 COMO COMPUESTOS ANTI-CÁNCER.,A61K 31/519
594,WO2022263604,PCT/EP2022/066504,16.06.2022,WO,"SUBSTITUTED PYRAZOLO[1,5-A]PYRIMIDINE-7-AMINE COMPOUNDS AS CDK INHIBITORS AND THEIR THERAPEUTIC USE",A61P 35/00; C07D 487/04; C07D 519/00; A61K 31/519
595,US443002361,18569519,16.06.2022,US,"SUBSTITUTED PYRAZOLO [1,5-A]PYRIMIDINE-7-AMINE COMPOUNDS AS CDK INHIBITORS AND THEIR THERAPEUTIC USE",C07D 487/04; A61K 31/519; A61K 31/5377; C07D 519/00
596,CA414599326,3219002,16.06.2022,CA,"SUBSTITUTED PYRAZOLO[1,5-A]PYRIMIDINE-7-AMINE COMPOUNDS AS CDK INHIBITORS AND THEIR THERAPEUTIC USE",C07D 487/04; A61K 31/519; A61P 35/00; C07D 519/00
597,AU419351462,2022294054,16.06.2022,AU,"SUBSTITUTED PYRAZOLO[1,5-A]PYRIMIDINE-7-AMINE COMPOUNDS AS CDK INHIBITORS AND THEIR THERAPEUTIC USE",A61P 35/00; A61K 31/519; C07D 487/04; C07D 519/00
