compound_inchi_key,canonical_isomeric_smiles,canonical_smiles,stereo_status,source_dataset,source_record_id,ligand_source_id,e3_uniprot,e3_gene_symbol,target_uniprot,target_gene_symbol,moa_type,endpoint_tier,endpoint_category,assay_type,mutation_flag,mutation_detail,diagnostic_only,is_family_level,has_pdb_structure,pdb_id,dc50,dmax,mapping_assumption_flag,in_both_datasets,source_group,split
RNWZCYNUXALQCK-QUWDGAPNSA-N,CN(c1ccc2cc(CN3CC[C@H](Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1)C1CCOCC1,CN(c1ccc2cc(CN3CCC(Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1)C1CCOCC1,defined,mgtbind,4118,4070,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4070,train
CSACCIQVCWKVGD-ZZHFZYNASA-N,C#Cc1ccc2cc(CN3CC[C@H](Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,C#Cc1ccc2cc(CN3CCC(Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,defined,mgtbind,4119,4071,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4071,train
FHZIGKMHOAWTLH-ABYGYWHVSA-N,O=C1CC[C@@H](N2Cc3cc(O[C@H]4CCN(Cc5ccc6nc(C7CCOCC7)ccc6c5)C4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5ccc6nc(C7CCOCC7)ccc6c5)C4)ccc3C2=O)C(=O)N1,defined,mgtbind,4120,4072,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4072,train
FDAKPMAQXBTRQP-XADRRFQNSA-N,CC#Cc1ncc2cc(CN3CC[C@H](Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,CC#Cc1ncc2cc(CN3CCC(Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,defined,mgtbind,4089,4041,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4041,train
RFCARACAVWNLOX-CRWLQCRJSA-N,CO[C@@H]1CCN(c2ccc3cc(CN4CC[C@H](Oc5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)C4)ccc3n2)C1,COC1CCN(c2ccc3cc(CN4CCC(Oc5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)C4)ccc3n2)C1,defined,mgtbind,4090,4042,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4042,train
FGLJEZWOQBTRET-ALLRNTDFSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5ccc6nc(OC7CCOCC7)ccc6c5)C4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5ccc6nc(OC7CCOCC7)ccc6c5)C4)ccc3C2=O)C(=O)N1,defined,mgtbind,4091,4043,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4043,train
OECVRRZRSPUILQ-QSAPEBAKSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5cc(-c6ccccc6)ccn5)C4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5cc(-c6ccccc6)ccn5)C4)ccc3C2=O)C(=O)N1,defined,mgtbind,4095,4047,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4047,train
FRYCQCDOVVVBJD-SSDKUHEVSA-N,CO[C@@H]1CCCN(c2ccc3cc(CN4CC[C@H](Oc5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)C4)ccc3n2)C1,COC1CCCN(c2ccc3cc(CN4CCC(Oc5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)C4)ccc3n2)C1,defined,mgtbind,4096,4048,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4048,train
QNIGFAIOHATOBP-AJZOCDQUSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5cc6ccccc6cn5)C4)c(F)cc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5cc6ccccc6cn5)C4)c(F)cc3C2=O)C(=O)N1,defined,mgtbind,4097,4049,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4049,train
MUFRGNRTUNPUNR-AJZOCDQUSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5cc6cc(F)ccc6cn5)C4)c(F)cc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(OC4CCN(Cc5cc6cc(F)ccc6cn5)C4)c(F)cc3C2=O)C(=O)N1,defined,mgtbind,4098,4050,Q96SW2,CRBN,P30291,WEE1,heterodimerization-degradative,2,binding_evidence,,False,,False,False,False,,,,,False,mgtbind_cmpd:4050,train
